,_runtime,_step,_timestamp,_wandb,lr_group_0,train_loss,val_accuracy,val_loss,lr,betas,epochs,base_lr,batch_size,wandb_name,fix_embed_lr,lr_scheduler,weight_decay,collect_norms,wandb_project,fix_weight_decay,max_steps_per_epoch,lr_scheduler_warmup_frac,name,best_val_loss,best_train_loss,muP,dim
123,588.59093343,2930,1731401340.167544,{'runtime': 588},0.00048828125,4.396477699279785,0.23252713680267337,5.426440238952637,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP_lr_0.001953125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP_lr_0.001953125,5.426440238952637,3.734724283218384,muP no scheduler,1024
124,168.322447742,2930,1731400930.3574407,{'runtime': 168},0.0,3.7223353385925297,0.23292416334152224,5.390468597412109,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS_lr_0.001953125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS_lr_0.001953125,5.367427349090576,3.5497095584869385,muP+fixRMS,256
125,287.955437459,2930,1731401052.7330534,{'runtime': 287},0.0,3.81927227973938,0.23274186253547668,5.409106254577637,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP_lr_0.001953125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP_lr_0.001953125,5.385769844055176,3.3156304359436035,muP,512
126,286.922001644,2930,1731401077.8534436,{'runtime': 286},0.0,3.812568187713623,0.23622184991836548,5.345216751098633,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.001953125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.001953125,5.319181442260742,3.3948163986206055,muP+fixRMS+fixEmbedLR+fixUnembed,512
127,280.690312681,2930,1731401144.172762,{'runtime': 280},0.0,3.899258136749267,0.23597471415996552,5.345911026000977,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR_lr_0.001953125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR_lr_0.001953125,5.32280969619751,3.5698318481445312,muP+fixRMS+fixEmbedLR,512
128,284.229256918,2930,1731401237.3502946,{'runtime': 284},0.0,4.308783531188965,0.23556150496006012,5.354190826416016,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS_lr_0.001953125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS_lr_0.001953125,5.335327625274658,3.6485772132873535,muP+fixRMS,512
129,590.143727301,2930,1731401560.2467752,{'runtime': 590},0.0,3.518179416656494,0.23974639177322388,5.304086685180664,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.001953125,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.001953125,5.266529083251953,3.1109681129455566,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,1024
130,585.001108462,2930,1731401661.0407004,{'runtime': 585},0.0,3.789623975753784,0.23360072076320648,5.368986129760742,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP_lr_0.001953125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP_lr_0.001953125,5.343859672546387,3.449036121368408,muP,1024
131,587.299588179,2930,1731401688.5500176,{'runtime': 587},0.0,3.429225206375122,0.23889969289302823,5.312778949737549,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.001953125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.001953125,5.274890422821045,3.147333860397339,muP+fixRMS+fixEmbedLR+fixUnembed,1024
132,574.930354642,2930,1731401742.6593409,{'runtime': 574},0.0,3.6026711463928223,0.23699967563152313,5.338565349578857,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR_lr_0.001953125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR_lr_0.001953125,5.3110151290893555,3.6026711463928223,muP+fixRMS+fixEmbedLR,1024
133,579.945062646,2930,1731401840.381247,{'runtime': 579},0.0,4.555847644805908,0.23282693326473236,5.416662693023682,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS_lr_0.001953125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS_lr_0.001953125,5.396030902862549,3.944932699203491,muP+fixRMS,1024
134,1401.26097877,2930,1731402773.6891575,{'runtime': 1401},0.000244140625,3.898138046264648,0.24055258929729464,5.298165321350098,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP_lr_0.001953125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP_lr_0.001953125,5.298165321350098,3.8970794677734375,muP no scheduler,2048
